ПОДРОБНЫЙ АНАЛИЗ ЗИГЗАГОВ
==================================================
Дата создания: 2025-08-06 14:50:54
Файл данных: processed_data/ml_data.csv
Колонка зигзага: zigzag (5.0%)

ОБЩАЯ СТАТИСТИКА
------------------------------
Всего записей: 266,184
Точек зигзага: 1,532
Анализируемых пар: 1,531

СТАТИСТИКА РАССТОЯНИЙ
------------------------------
Процентное изменение (%):
  Среднее: 10.0767
  Минимальное: 5.0073
  Максимальное: 65.9966
  Медиана: 8.5456
  Стд. отклонение: 5.3095

Изменение цены ($):
  Среднее: 2713.0940
  Минимальное: 167.6800
  Максимальное: 33515.6400
  Медиана: 1748.9900
  Стд. отклонение: 2920.2910

Расстояние в свечах:
  Среднее: 173.7348
  Минимальное: 1.0000
  Максимальное: 4038.0000
  Медиана: 65.0000
  Стд. отклонение: 307.9331

ДЕТАЛЬНЫЙ СПИСОК ВСЕХ РАССТОЯНИЙ
----------------------------------------
№    Тип1  Тип2  Процент%   Цена$        Свечи   
385  MAX   MIN   5.338      258.44       2       
386  MIN   MAX   9.862      451.99       85      
387  MAX   MIN   5.591      281.49       7       
388  MIN   MAX   10.971     521.51       65      
389  MAX   MIN   9.763      515.01       8       
390  MIN   MAX   5.863      279.08       9       
391  MAX   MIN   5.201      262.08       75      
392  MIN   MAX   8.960      428.00       178     
393  MAX   MIN   5.310      276.41       18      
394  MIN   MAX   7.637      376.41       113     
395  MAX   MIN   5.014      266.00       43      
396  MIN   MAX   7.601      383.00       218     
397  MAX   MIN   10.343     560.78       125     
398  MIN   MAX   15.197     738.78       1066    
399  MAX   MIN   8.893      498.00       263     
400  MIN   MAX   7.997      408.00       18      
401  MAX   MIN   6.011      331.20       330     
402  MIN   MAX   13.926     721.20       435     
403  MAX   MIN   5.297      312.55       49      
404  MIN   MAX   31.437     1756.54      710     
405  MAX   MIN   6.371      467.87       4       
406  MIN   MAX   9.390      645.66       30      
407  MAX   MIN   10.261     771.78       30      
408  MIN   MAX   20.000     1350.00      122     
409  MAX   MIN   6.568      532.00       4       
410  MIN   MAX   10.544     798.00       36      
411  MAX   MIN   9.161      766.44       52      
412  MIN   MAX   9.480      720.44       112     
413  MAX   MIN   15.865     1320.00      104     
414  MIN   MAX   7.000      490.00       4       
415  MAX   MIN   7.704      577.00       33      
416  MIN   MAX   19.703     1362.09      235     
417  MAX   MIN   8.726      722.09       56      
418  MIN   MAX   6.977      527.00       34      
419  MAX   MIN   7.661      619.00       238     
420  MIN   MAX   19.398     1447.32      414     
421  MAX   MIN   5.632      501.72       149     
422  MIN   MAX   7.942      667.66       137     
423  MAX   MIN   11.783     1069.26      21      
424  MIN   MAX   10.116     809.78       254     
425  MAX   MIN   15.131     1333.76      229     
426  MIN   MAX   5.556      415.68       89      
427  MAX   MIN   5.725      452.12       88      
428  MIN   MAX   8.804      655.42       97      
429  MAX   MIN   7.325      593.34       208     
430  MIN   MAX   24.330     1826.34      606     
431  MAX   MIN   5.489      512.33       56      
432  MIN   MAX   7.067      623.33       109     
433  MAX   MIN   5.231      494.00       73      
434  MIN   MAX   24.693     2210.00      365     
435  MAX   MIN   7.616      850.00       7       
436  MIN   MAX   6.731      693.98       8       
437  MAX   MIN   5.398      593.98       23      
438  MIN   MAX   9.439      982.64       93      
439  MAX   MIN   6.775      771.84       11      
440  MIN   MAX   22.401     2379.20      212     
441  MAX   MIN   5.597      727.62       1       
442  MIN   MAX   13.833     1697.62      58      
443  MAX   MIN   15.526     2169.00      2       
444  MIN   MAX   10.152     1198.00      1       
445  MAX   MIN   8.454      1099.00      2       
446  MIN   MAX   13.261     1578.04      12      
447  MAX   MIN   7.257      978.04       6       
448  MIN   MAX   5.238      654.69       9       
449  MAX   MIN   12.959     1704.69      22      
450  MIN   MAX   7.948      910.00       10      
451  MAX   MIN   13.592     1679.96      21      
452  MIN   MAX   5.290      564.95       5       
453  MAX   MIN   6.402      719.89       8       
454  MIN   MAX   11.847     1246.88      19      
455  MAX   MIN   6.703      789.10       16      
456  MIN   MAX   13.631     1497.12      72      
457  MAX   MIN   8.053      1004.98      19      
458  MIN   MAX   6.701      768.98       67      
459  MAX   MIN   10.707     1311.00      77      
460  MIN   MAX   5.498      601.05       21      
461  MAX   MIN   7.066      815.05       11      
462  MIN   MAX   5.255      563.28       15      
463  MAX   MIN   11.100     1252.28      64      
464  MIN   MAX   6.680      670.00       15      
465  MAX   MIN   8.785      939.98       26      
466  MIN   MAX   6.045      589.98       12      
467  MAX   MIN   6.019      623.00       10      
468  MIN   MAX   18.361     1786.00      72      
469  MAX   MIN   5.509      634.25       14      
470  MIN   MAX   10.307     1121.25      60      
471  MAX   MIN   10.030     1203.56      124     
472  MIN   MAX   5.654      610.39       30      
473  MAX   MIN   5.275      601.73       24      
474  MIN   MAX   7.958      859.90       78      
475  MAX   MIN   5.272      615.00       24      
476  MIN   MAX   15.789     1744.73      228     
477  MAX   MIN   5.680      726.73       12      
478  MIN   MAX   8.942      1079.08      103     
479  MAX   MIN   12.003     1578.08      38      
480  MIN   MAX   5.560      643.29       9       
481  MAX   MIN   8.289      1012.29      20      
482  MIN   MAX   5.196      582.00       40      
483  MAX   MIN   6.637      782.00       25      
